Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Leukemia,Redness,Unexplained bleeding,Soreness,Sneezing,Nosebleeds,Vomiting,Slight fever,Problems with words,Skin infections,Bone pain,Itching,Change in existing mole,Bloating,Diarrhea,Shortness of breath,Thickened skin,Hunger
Melanoma,Redness,Staring spells,Nosebleeds,Itching,Change in existing mole,Vomiting,Slight fever,Swelling,Tenderness,Chest discomfort,Difficulty performing familiar tasks,Bone pain,Receding gums,Diarrhea,Shortness of breath,Anemia,Sore that doesn’t heal
Bronchitis,Severe headache,Redness,Nausea,Nosebleeds,Chest discomfort,Slight fever,Diarrhea,Vomiting,Difficulty thinking,Mucus production,Difficulty performing familiar tasks,Itching,Swelling,Blisters,Shortness of breath,Sore that doesn’t heal,Gas
Cancer,Redness,Unexplained bleeding,Hard lumps,Loss of taste,Frequent urination,Unexplained fevers,Reduced appetite,Vomiting,Itching,Diarrhea,Bloating,Swelling,Bone fractures,Difficulty swallowing,Tophi,Shortness of breath,Thickened skin
Cancer,Inability to defecate,Unexplained bleeding,Staring spells,Hunger,Frequent urination,Unexplained fevers,Receding gums,Bloating,Difficulty thinking,Morning stiffness,Diarrhea,Body aches,Difficulty swallowing,Blisters,Shortness of breath,Anemia,Sore that doesn’t heal
Peptic Ulcer,Blood in stool,Bleeding mole,Nausea,Anemia,Change in bowel habits,Frequent infections,Vomiting,Shortness of breath,Diarrhea,Bloating,Swelling,Skin infections,Numbness,Body aches,Difficulty swallowing,Loss of taste,Hunger
Rheumatoid Arthritis,Soreness,Pneumonia,Throbbing pain,Sneezing,Nausea,Frequent urination,Vomiting,Itching,Receding gums,Diarrhea,Morning stiffness,Swelling,Difficulty swallowing,Tophi,Shortness of breath,Anemia,Gas
Asthma,Swollen joints,Stooped posture,Aura,Difficulty sleeping,Nausea,Nosebleeds,Increased mucus production,Vomiting,Chest discomfort,Diarrhea,Skin infections,Slight fever,Swelling,Numbness,Difficulty swallowing,Blisters,Shortness of breath
Anemia,Redness,Burning,Difficulty sleeping,Change in bowel habits,Belching,Reduced appetite,Itching,Diarrhea,Problems with words,Morning stiffness,Swelling,Bone pain,Tenderness,Bloating,Shortness of breath,Anemia,Sore that doesn’t heal
Hypertension,Fear,Nosebleeds,Neck stiffness,Reduced appetite,Change in existing mole,Slight fever,Diarrhea,Receding gums,Loss of height,Itching,Bloating,Vomiting,Swelling,Shortness of breath,Difficulty swallowing,Loss of taste,Hunger
Hypertension,Inability to defecate,Swollen joints,Soreness,Difficulty sleeping,Nosebleeds,Itching,Vomiting,Problems with words,Tender abdomen,Receding gums,Diarrhea,Numbness,Difficulty swallowing,Blisters,Shortness of breath,Hunger,Gas
Kidney Stones,Severe headache,Soreness,Nausea,Tremor,Pain during urination,Itching,Slight fever,Vomiting,Diarrhea,Morning stiffness,Tenderness,Swelling,Irritability,Numbness,Blisters,Shortness of breath,Thickened skin
Celiac Disease,Inability to defecate,Bleeding mole,Burning,Difficulty sleeping,Nausea,Constipation,Coughing up blood,Mild fever,Withdrawal from work,Fatigue,Chest discomfort,Vomiting,Diarrhea,Bloating,Itching,Irritability,Shortness of breath
Pneumonia,Severe headache,Blood in stool,Throbbing pain,Burning,Nausea,Hard lumps,Nosebleeds,Frequent urination,Vomiting,Diarrhea,Difficulty thinking,Tenderness,Body aches,Difficulty swallowing,Shortness of breath,Anemia,Gas
Bronchitis,Fear,Nosebleeds,Blisters,Withdrawal from work,Itching,Slight fever,Diarrhea,Difficulty performing familiar tasks,Bloating,Mucus production,Bone fractures,Swelling,Vomiting,Difficulty swallowing,Tophi,Shortness of breath,Thickened skin
Heart Disease,Swollen joints,Bleeding mole,Staring spells,Difficulty sleeping,Neck stiffness,Loss of smell,Frequent urination,Chest discomfort,Vomiting,Receding gums,Difficulty performing familiar tasks,Difficulty thinking,Tender abdomen,Bone fractures,Tophi,Shortness of breath,Sore that doesn’t heal
COVID-19,Sneezing,Nausea,Rapid pulse,Constipation,Itching,Slight fever,Diarrhea,Bloating,Swelling,Mucus production,Shortness of breath,Difficulty swallowing,Blisters,Loss of taste,Thickened skin,Sore that doesn’t heal,Gas
HIV/AIDS,Blood in stool,Fear,Pneumonia,Rash,Sneezing,Nosebleeds,Nausea,Chest discomfort,Itching,Diarrhea,Skin infections,Swelling,Bloating,Tenderness,Vomiting,Numbness,Anemia
Tuberculosis,Severe headache,Staring spells,Rapid pulse,Nausea,Increased thirst,Coughing up blood,Loss of smell,Fatigue,Vomiting,Chest discomfort,Congestion,Bloating,Swelling,Weakness,Bladder issues,Sensitivity to light,Shortness of breath
Parkinson's Disease,Unexplained bleeding,Soreness,Swollen joints,Stooped posture,Difficulty sleeping,Burning,Reduced appetite,Chest discomfort,Vomiting,Diarrhea,Bone pain,Swelling,Irritability,Difficulty swallowing,Tophi,Hunger,Gas
